,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,up_down
15,1.7122262113939768,2.3353336088763523,0.1930266556439308,12.098503189032378,1.0755437796547028e-33,5.1626101423425735e-33,RXFP3,up
18,8.877112477732098,-2.704465904177851,0.1938691750611884,-13.949953123410545,3.1481223791010843e-44,2.014798322624694e-43,PRRG3,down
21,199.28591031100697,-1.6490762040793523,0.1886290683970096,-8.742428821248927,2.2815162082628466e-18,6.8445486247885394e-18,RIC3,down
30,210.2033836059136,2.2464265589512515,0.2651104673208113,8.473549089379565,2.3802746682261844e-17,6.528753375706104e-17,KNDC1,up
33,21.31669211932524,1.931513355201388,0.2984640654978796,6.47151057189868,9.702796854753683e-11,1.8264088197183404e-10,VNN3,up
34,2.857090401176649,1.9132791747568556,0.2363362309057322,8.095581314064399,5.699152832158266e-16,1.367796679717984e-15,GALR2,up
42,202.93608734537395,3.0479520059718936,0.2015927943405906,15.11934995465356,1.2072846821716748e-51,9.658277457373396e-51,ENTPD8,up
47,1.599347266152912,2.492254011100321,0.6663297233302147,3.7402714059406126,0.0001838216590567642,0.00028010919475316445,KCNK16,up
53,792.6433367887452,-1.6389422262633488,0.1134097133040251,-14.451515470017323,2.452301177177428e-47,1.8109301000694853e-46,PLAGL1,down
66,45.59925602308474,2.639221114584384,0.4023738331948474,6.55912710234901,5.4123656633290156e-11,1.0603818442440522e-10,KLK12,up
72,85.72354072618492,-2.936228636108506,0.1616365234506681,-18.16562601957132,9.659890246582383e-74,1.5455824394531816e-72,BMX,down
76,448.4875046735007,-2.9809565164122374,0.1534129762002763,-19.43092814078962,4.226503077601811e-84,1.3524809848325796e-82,SAMD5,down
77,3.493117494310294,3.022132968791009,0.3676323432013839,8.220530714120347,2.0260458987406762e-16,4.987189904592433e-16,MYOG,up
82,403.9413851793426,2.277671901739207,0.126243685400514,18.04186795175684,9.140151130306764e-73,1.0968181356368114e-71,BRIP1,up
95,1864.5000983897053,1.619011119505999,0.0895053588849747,18.088426655957264,3.9315170154230154e-73,5.391794764008706e-72,FAM110A,up
98,73.33466096591499,-3.4004327298354684,0.1135324059859285,-29.951208206200835,4.243354671580055e-197,4.0736204847168534e-195,NAALAD2,down
